Key,Id,Japanese(ja),English(en)
"InitialLife",91361278111744,"初期ライフ","Initial Life"
"StartTurn",91602790330368,"開始時ターン数","Start turn"
"EmptyStock",92113199378432,"コインをドローする際、ストックコインがカラだった時","When you draw a coin and the stock is empty"
"EmptyStockToLose",92251846291456,"敗北","Lose"
"EmptyStockToShuffleTrash",92622933143552,"捨てコインをストックコインに戻す","Shuffle trash to stock"
"StartDraw",93168880529408,"先行プレイヤーの1ターン目はドローしない","The first player's first turn is not a draw."
"MaxResource",93538147053568,"行動力最大","Max Resource"
"ReplenishResource",93921271558144,"ターン毎に補充される行動力","Resources replenished each turn"
"SurplusResource",94327632506880,"残った行動力を次のターンに持ち越す","Remaining resources are carried over to the next turn."
"TurnResourceAppend",95162844262400,"ターンが進む毎に加算される行動力の量","The amount of resources added to each turn"
"MoveDiceToResource",526819502010368,"移動ダイス目分の行動力を取得","Get resources for moving die rolls"
"DrawResource",527408218714112,"コインドロー時に行動力を消費","Consume resources during coin draw"
"Size1",527673504247808,"サイズ1","Size1"
"Size2",527738272690176,"サイズ2","Size2"
"Size3",527783940272128,"サイズ3","Size3"
"HandCoinMax",528282223587328,"手持ちコイン枚数最大","Maximum number of coins in hand"
"HandCoinSizeTotal",528524532723712,"手持ちコインサイズ合計の最大","Maximum total coin size in hand"
"ManyAction",528941710782464,"複数回行動","Multiple actions"
"StatusCount",529271026561024,"ステータス効果発動カウント","Status Effect Activation Count"
"StatusBaseDamage",529526585503744,"ダメージを与えるステータスのダメージ基準値","Damage thresholds for damage-dealing statuses"
"SetAttackAdjust",529837282766848,"設置攻撃コインのダメージ補正","Damage compensation for seted attack coins"
"DirectAttackAdjust",530182062944256,"直接攻撃コインのダメージ補正","Damage compensation for direct attack coins"
"GuardAdjust",530218586943488,"防御コインの防御力補正","Defense correction for guard coins"
"SetAttackResource",530588021239808,"設置攻撃コインの行動力消費","Resource consumption of seted attack coins"
"DirectAttackResource",530619650486272,"直接攻撃コインの行動力消費","Resource consumption of direct attack coins"
"GuardResource",530647521636352,"防御コインの行動力消費","Resource consumption of guard coins"
"SupportResource",530685194874880,"補助コインの行動力消費","Resource consumption of support coins"
"OtherResource",530713581924352,"その他コインの行動力消費","Resource consumption of other type coin"
"Dice",531946501779456,"ダイス","Dice"
"Area",532086545395712,"エリア","Area"
"Reset",532326765768704,"リセット","Reset"
"PlayerStartPosition",532633499414528,"プレイヤー初期位置（エリア左端は0。そこから右に行く毎に+1）","Player's initial position (0 at the left end of the area, +1 for each step to the right)"
"Player1",532947459846144,"プレイヤー1","Player1"
"Player2",532998361919488,"プレイヤー2","Player2"
"NoNeed",533351430041600,"使用条件を追加する効果を無効にする(管理者専用)","Disable effects that add conditions of use.(administrators only)"
"ReverseSet",533737444421632,"コイン設置時に裏向きで配置","Place the coin face down when placing it"
"ShowHandCoinInfo",534234205204480,"コイン種類","Coin Type"
"ShowHandCoinNum",534293391028224,"枚数","Number of coins"
"ShowHandCoinStatus",534380808712192,"状態","condition"
"ShowStockCoinNum",535154422919168,"ストックコイン数の公開","Release the number of stock coins"
"ShowDirectAttackCoinDetail",535458556096512,"防御コイン選択時、使用された直接攻撃コインを表示","Displays the direct attack coin used when selecting a defensive coin"
"LimitTime",535743143817216,"制限時間","Time limit"
"NumberLimitTimeAction",536097822552064,"操作毎","per-operation"
"NumberLimitTimeTotal",536376391446528,"合計","Total"
"NumberLimitTimeTotalRecruital",536461925888000,"操作毎延長","Extension of each operation"
"TurnAdd",536806680899584,"コインに加算される、1ターン毎の経過数","Number of turns elapsed per turn, added to coins"
"AddSideDeckTimming",537046146297856,"サイドデッキの追加タイミング","When to add a side deck"
"AddSideDeckTimmingNone",537230322380800,"追加されない","Not added"
"AddSideDeckTimmingSecondRound",537270340235264,"2ラウンド目","Round two"
"AddSideDeckTimmingLowerRoundCount",537306167980032,"勝利ラウンド数で負けている時","When you are losing in the number of rounds won"
"AddSideDeckTimmingCheckMate",537340439638016,"相手が後1ラウンドで勝利","Opponent wins in one more round"
"AddSideDeckTimmingFinalRound",537390645456896,"最終ラウンド","Final Round"
"SideCoinNum",538594553311232,"サイドデッキを使用する","Use side deck"
"CoinDetails",1835634184892416,"コイン詳細","Coin details"
"Ticket",1835749675053056,"引換券","Ticket"
"HowToPlay",1835956231942144,"遊び方","How to play"
"License",1836083449376768,"ライセンス","Licenses"
"Other",1836208548687872,"その他","Other"
"Auto",1836486664597504,"Auto","Auto"
"Rule",1836576582086656,"ルール","Rule"
"Right",1836865657712640,"右","Right"
"Left",1836912386453504,"左","Left"
"CoinName",1837257778999296,"名前","Name"
"Owner",1837371520135168,"所有者","Owner"
"BasicInfo",1837462825938944,"基本情報","Basic Info"
"Explain",1837755168927744,"説明","Explain"
"DirectAttack",1837947985276928,"直接攻撃","Direct attack"
"View",1838363401728000,"配置
確認","View"
"OK",1838750766673920,"OK","OK"
"All",1839041121562624,"全て","All"
"DuelRequest",1839650063200256,"対戦を要求","Request a match"
"Allow",1840572768137216,"許可","Allow"
"Deny",1840619362660352,"拒否","Deny"
"Abort",1840878654533632,"中止","Abort"
"Target",1841148155342848,"対象","Target"
"SelfMade",1841484517552128,"自作","Self-made"
"Fetch",1841771194036224,"他のプレイヤーから入手","Imported from other players"
"Sort",1842030360080384,"並べ替え","Sort"
"CloseButton",1843742143623168,"×","Close"
"SetAttack",1856614030585856,"設置攻撃","Setted attack"
"Guard",1857046761123840,"防御","Guard"
"Support",1857377486188544,"補助","Support"
"Size",1857650325663744,"サイズ","Size"
"GetOnline",1857877480779776,"オンラインで取得","Get by online"
"GetOffline",1857979062628352,"オフラインで取得","Get by offline"
"Type",1858730249891840,"種類","Type"
"TotalPlayTime",1865155583881216,"総プレイ時間","Total play time"
"TotalDamage",1865331375550464,"総ダメージ","Total damage"
"TotalTurn",1865410756947968,"総経過ターン","Total elapsed turns"
"TotalMove",1865528704970752,"総歩行数","Total number of walks"
"MinWinTurn",1865628130947072,"最短勝利ターン数","Minimum number of victory turns"
"MaxWinTurn",1865875611660288,"最長勝利ターン数","Maximum number of victory turns"
"MaxDamageInSinglePass",1866008176832512,"一回での最大ダメージ","Maximum damage in a single pass"
"NumberStopArea",1866297533476864,"エリア別の止まった数","Number of stops by area"
"MostCoinInDeck",1866480900059136,"最もデッキに入れたコイン","The coins you decked out the most"
"MostUseCoin",1866796538212352,"最も使用したコイン","Most used coins"
"NumberVS",1867599856480256,"対戦数","Number of battles"
"NumberWin",1867761421070336,"勝利数","Number of Victories"
"WinningPercentage",1867901586321408,"勝率","Winning percentage"
"NPC",1868805005848576,"NPC","NPC"
"Offline",1868943002644480,"オフライン","Offline"
"Online",1869011038449664,"オンライン","Online"
"DeckName",1881765677838336,"デッキ名","Deck name"
"Main",1881866966085632,"メイン","Main"
"Side",1881919071924224,"サイド","Side"
"UsableOnline",1882675766308864,"オンライン使用可","Can be used online"
"OutDeck",1883329360506880,"外
す","Delete"
"InDeck",1883600652283904,"加
え
る","Add"
"RuleDetail",1884175091576832,"ルール詳細","Rule details"
"Save",1884839024734208,"保存","Save"
"NoSaveClose",1884893798150144,"保存せずに閉じる","Close without saving"
"ExchangeNum",11668906561712128,"交換数","Number of exchanges"
"ExchangeTarget",11668972420673536,"交換先","Exchange destination"
"ExchangeTargetCoin",11669010580451328,"コインくじ1枚
→コイン1枚（ランダム）","1 coin lottery ticket
→ 1 coin (random)"
"ExchangeTargetExchangeTicket",11669059645419520,"コインくじ3枚
→コイン引換券1枚","3 coin lottery tickets
→ 1 exchange coin ticket"
"ExecuteExchange",11669170471514112,"交換を実行","Perform exchange"
"ClearSearch",14555938493509632,"クリア","Clear"
"NoAppendValue",19997082727690240,"追加ダメージ・追加防御を無効にする(管理者専用)","Disable additional damage and additional protection.(administrators only)"
"MustUse",20009250739138560,"使用できるコインがある時、使用しなければならない。(管理者専用)","When there are coins available, you must use them.(administrators only)"
"ShowRule",24347530855133184,"ルール","Rules"
"ShowHint",24348103537012736,"ヒント","Tips"
"HintText",24393905206669312,"操作のヒントがここに表示されます。","Operating tips are displayed here."
"ForceAddCoins",24720619543670784,"強制的に追加されるコイン(管理者専用)","Coins to be added compulsorily (administrators only)"
"UsableCoins",24745315614011392,"未所持でも使用可能なコイン(管理者専用)","Coins available for unclaimed (administrators only)"
"LotCoin",25420285566464000,"コインくじ","Lot coin ticket"
"ExchangeTicket",25420903509078016,"コイン交換券","Coin exchange ticket"
"LotCoinExplain",25422027628687360,"使用するとコインが取得できます。
種類はランダムです。","You can get coins when you use it.
The type is random."
"ExchangeTicketExplain",25422262908170240,"任意のコインが取得できます。コイン一覧で取得したいコインを選ぶと使用できます。","Any coin can be acquired. Select the coin you wish to acquire from the coin list to use it."
"PointExplain",25422370311712768,"オンライン対戦で必要です。","Required for online competition."
"RuleDate",25443482139570176,"日付","Date"
"Order",25444236065714176,"並び順","Order"
"Ascending",25444934698348544,"昇順","Ascending"
"Descending",25444996346228736,"降順","Descending"
"Value",25449970778189824,"効果量","Value"
"GetCoinDate",25450198700863488,"入手日","Acquisition date"
"Search",25451579310551040,"検索","Search"
"CoinType",25451742368313344,"種類","Coin type"
"LotCoinOnline",25462984516513792,"コインくじ (オンライン)","Lot coin (online)"
"ExchangeTicketOnline",25463151974100992,"コイン引換券 (オンライン)","Coin exchange ticket (online)"
"PointOnline",25463795359363072,"ポイント (オンライン)","Point (online)"
"EditDeckP",25547060824977408,"デッキ
編集","Edit
Deck"
"CoinsListP",25547143989637120,"コイン
一覧","Coins
List"
"EditRuleP",25547212348403712,"ルール
編集","Edit
Rule"
"BackToTitleShortP",25547907411685376,"タイ
トル","Title"
"Yes",29887752690937856,"はい","Yes"
"No",29887800589889536,"いいえ","No"
"DuelResult",41740550462189568,"結果","Result"
"DuelReward",41742022943911936,"報酬","Reward"
"SaveDeckMessage",58026745227849728,"デッキが編集されています。
保存しますか？","Your deck has been edited.
Do you want to save it?"
"SaveRuleMessage",58026774978048000,"ルールが編集されています。
保存しますか？","Your rule has been edited.
Do you want to save it?"
"DirectAttackOverGuard",60296010349883392,"直接攻撃コインの効果が防御コインの効果を上回った時、差分ダメージ","Differential damage when the effect of direct attack coins exceeds the effect of defensive coins"
"GuardOverDirectAttack",60296076699578368,"防御コインの効果が直接攻撃コインの効果を上回った時、差分ダメージ","Differential damage when the effect of defensive coins exceeds the effect of direct attack coins"
"State",60539058619101184,"状態","State"
"GetCoin",68273409616195584,"コインを取得","Get coin"
"GetExchangeTicket",68273602772283392,"コイン引換券を取得","Get coin vouchers"
"deprecated",68591457120235520,"非推奨項目の表示","Show deprecated items"
"ReplacementSource",73365274065580032,"交換元","Replacement source"
"DestinationOfExchange",73365473764782080,"交換先","Destination of exchange"
"Round1TurnPlayer",77565614247849984,"先攻プレイヤー","The first player to attack"
"Round1TurnPlayerRandom",77566419067678720,"ランダム","Random"
"Round1TurnPlayerHost",77566448075485184,"待ち受け側","Host"
"Round1TurnPlayerGuest",77566476315734016,"接続側","Guest"
"LobbySettingMatchConnectCode",77604595161313280,"接続コードを使用する","Use the connecting code"
"LobbySettingFilter",77604894135496704,"表示対象の絞り込み","Narrowing down the display target"
"LobbySettingFilterShowALL",77604981834199040,"全て表示","Show all"
"LobbySettingFilterPlayableRule",77605068488519680,"今のデッキで対戦可能","Can be played with the current deck."
"LobbySettingFilterSameRule",77605512145219584,"同じルール","Same rule"
"Room",80498455449382912,"ルーム","Room"
"FetchRule",80560027437838336,"ルールを取り込む","Capturing the Rules"
"StartDuel",80560857364770816,"対戦に進む","proceed to the match"
"LobbySettingDuelAutoStart",83043916211236864,"対戦相手が見つかったら自動開始","Automatic start when an opponent is found"
"DuelRequested",83442937039892480,"対戦を要求されました。","Matching was requested."
"SwitchDisplay",91322778275753984,"表示切替","Display switching"
"Damage",91388484774211584,"ダメージ","Damage"
"DeckLastUseDate",91416132267225088,"最後に使用した日","Date of last use"
"Details",92851961887928320,"詳細","Details"
"Report",93555116674068480,"通報","Report"
"ReportMessage1",93564199787507712,"ここでは最後に対戦した相手を不正プレイヤーとして通報できます。","Here you can report your last opponent as a cheating player."
"ReportGetInfo",93565891887181824,"取得","Get"
"SendReport",93565939987460096,"送信","Send"
"CoinValueTitle",98297904863064064,"コイン効果補正(管理者用)","Coin effect correction (for admin)"
"FilterSpecial",98586998004461568,"特殊","Special"
"ShowHandCoinSize",98672743876603904,"サイズ","Size"
"NoGetResource",99096254424231936,"行動力を得る方法がない","There is no way to get resources"
"LotCoinToCoin",99819265154560000,"x 1 (ランダム)","x 1 (Random)"
"LotCoinOffline",99827957266591744,"コインくじ (オフライン)","Lot coin (offline)"
"ExchangeTicketOffline",99828044306788352,"コイン引換券 (オフライン)","Coin exchange ticket (offline)"
"ChangeRule",100812716859928576,"ルール変更","Rule change"
"ExplainSelectRule",100813970214432768,"このデッキで対戦する際のルールを選択してください。","Please select the rules for playing against this deck."
"HasCount",100824535775260672,"所持数","Number possessed"
"Switch",103307472789778432,"切り替え","Switch"
"CopyDeckP",103322847732510720,"デッキ
複製","Copy
deck"
"DeleteDeckP",103322921350934528,"デッキ
削除","Delete
deck"
"CoinDetailsP",103323017253695488,"コイン
詳細","Coin
details"
"DisplaySettingP",103323115555598336,"表示
設定","Display
setting"
"CopyRuleP",103326045243387904,"ルール
複製","Copy
rule"
"DeleteRuleP",103326092920041472,"ルール
削除","Delete
rule"
"ChangesP",103326136788267008,"変更
箇所","Changes"
"Achievement",106183362452336640,"実績","Achievement"
"RoundAverageDamage",106190247964389376,"ラウンド平均ダメージ","Round average damage"
"Notice",106713347449630720,"お知らせ","Notice"
"Items",106714137715224576,"アイテム","Items"
"CanAdditionalDraw",108430743193464832,"追加ドロー","Additional draw"
"AdditionalDrawUseResource",108430836499951616,"消費行動力","consumed resources"
"AdditionalActionUseResource",108436640728821760,"消費行動力","consumed resources"
"ShowHandTitle",116074995159347200,"手持ちコインの公開","Publication of coins on hand"
"CheckRule",116344862575898624,"ルールを確認","Check the rule"
"OpenStorePage",123233475750211584,"ストアページを開く","Open store page"
"ShowReview",123233541101662208,"レビュー","Review"
"Preload",129073790516146176,"事前読み込み","Pre-loading"
"PointDeficit",141398265421049856,"ポイント不足メッセージを表示","Display insufficient points message"
